Local Government areas;latitude;longitude
Albury, City of;-36.074771;146.914504
Armidale Regional Council;30.61411;-82.51096
Ballina Shire;14.10307;38.28289
Balranald Shire;-33.826317;143.688366
Bathurst Region;-33.29156;149.552885
Bayside Council;40.76844;-73.77708
Bega Valley Shire;-36.674491;149.724431
Bellingen Shire;14.10307;38.28289
Berrigan Shire;-35.752088;145.778969
Blacktown City Council;30.61411;-82.51096
Bland Shire;14.10307;38.28289
Blayney Shire;14.10307;38.28289
Blue Mountains, City of;-33.685687;150.407402
Bogan Shire;14.10307;38.28289
Bourke Shire;14.10307;38.28289
Brewarrina Shire;-29.861972;146.97619
Broken Hill, City of;50.009342;8.814865
Burwood Council;-33.883502;151.102849
Byron Shire;14.10307;38.28289
Cabonne Shire;-33.148471;148.762339
Camden Council;30.61411;-82.51096
Campbelltown, City of;-34.882243;138.659807
Canada Bay, City of;-33.865655;151.115473
Canterbury-Bankstown, City of;50.009342;8.814865
Carrathool Shire;14.10307;38.28289
Central Coast Council;30.61411;-82.51096
Central Darling Shire;-31.758762;143.485558
Cessnock, City of;-32.83164;151.351392
Clarence Valley Council;-29.717009;152.760303
Cobar Shire;14.10307;38.28289
Coffs Harbour, City of;50.009342;8.814865
Coolamon Shire;-34.677704;147.110101
Coonamble Shire;14.10307;38.28289
Cootamundra-Gundagai Regional Council;-34.638458;148.027763
Cowra Shire;14.10307;38.28289
Cumberland City Council;36.380826;-87.639098
Dubbo Regional Council;-32.249554;148.609715
Dungog Shire;14.10307;38.28289
Edward River Council;30.61411;-82.51096
Eurobodalla Shire;-35.965175;149.921059
Fairfield, City of;50.009342;8.814865
Federation Council;30.61411;-82.51096
Forbes Shire;14.10307;38.28289
Georges River Council;30.61411;-82.51096
Gilgandra Shire;-31.632304;148.690904
Glen Innes Severn Council;-29.714291;151.903241
Goulburn Mulwaree Council;-34.898259;149.784089
Greater Hume Shire;-35.746058;147.185076
Griffith, City of;50.009342;8.814865
Gunnedah Shire;14.10307;38.28289
Gwydir Shire;14.10307;38.28289
Hawkesbury, City of;50.009342;8.814865
Hay Shire;14.10307;38.28289
Hills Shire, The;-33.76224;151.00613
Hilltops Council;30.61411;-82.51096
Hornsby Shire;14.10307;38.28289
Hunter's Hill, Municipality of;38.938905;-84.38601
Inner West Council;30.61411;-82.51096
Inverell Shire;14.10307;38.28289
Junee Shire;14.10307;38.28289
Kempsey Shire;-30.945352;152.502236
Kiama, Municipality of;50.009342;8.814865
Ku-ring-gai Council;30.61411;-82.51096
Kyogle Council;30.61411;-82.51096
Lachlan Shire;14.10307;38.28289
Lake Macquarie, City of;50.009342;8.814865
Lane Cove, Municipality of;50.009342;8.814865
Leeton Shire;14.10307;38.28289
Lismore, City of;50.009342;8.814865
Lithgow, City of;50.009342;8.814865
Liverpool, City of;50.009342;8.814865
Liverpool Plains Shire;14.10307;38.28289
Lockhart Shire;14.10307;38.28289
Lord Howe Island;-31.560589;159.085907
Maitland, City of;50.009342;8.814865
Mid-Coast Council;30.61411;-82.51096
Mid-Western Regional;-32.606559;149.731245
Moree Plains Shire;-29.19221;149.646019
Mosman Council;-33.829705;151.24157
Murray River Council;30.61411;-82.51096
Murrumbidgee Council;-34.65662;145.567712
Muswellbrook Shire;14.10307;38.28289
Nambucca Shire;-30.700253;152.799671
Narrandera Shire;14.10307;38.28289
Narrabri Shire;14.10307;38.28289
Narromine Shire;14.10307;38.28289
Newcastle, City of;-32.9278;151.782607
Northern Beaches Council;30.61411;-82.51096
North Sydney Council;30.61411;-82.51096
Oberon Shire;14.10307;38.28289
Orange, City of;40.780723;-74.233062
Parkes Shire;14.10307;38.28289
Parramatta Council, City of;-33.814115;151.005457
Penrith, City of;50.009342;8.814865
Port Macquarie-Hastings Council;-31.406676;152.567989
Port Stephens Council;30.61411;-82.51096
Queanbeyan�Palerang Regional Council;-43.632477;171.638195
Randwick, City of;-33.911304;151.242096
Richmond Valley Council;30.61411;-82.51096
Ryde, City of;-33.81213;151.112349
Singleton Council;30.61411;-82.51096
Shellharbour, City of;-34.578005;150.864977
Shoalhaven, City of;50.009342;8.814865
Snowy Monaro Regional Council;-36.42124;148.89311
Snowy Valleys Council;30.61411;-82.51096
Strathfield, Municipality of;-33.881305;151.083627
Sutherland Shire;-34.08002;150.999438
Sydney, City of;50.009342;8.814865
Tamworth Regional Council;30.61411;-82.51096
Temora Shire;14.10307;38.28289
Tenterfield Shire;14.10307;38.28289
Tweed Shire;-28.364941;153.332172
Unincorporated Far West;38.069742;-81.451546
Upper Hunter Shire;-31.897927;151.101188
Upper Lachlan Shire;-34.358541;149.406476
Uralla Shire;14.10307;38.28289
Wagga Wagga, City of;-35.108503;147.359497
Walcha Shire;14.10307;38.28289
Walgett Shire;14.10307;38.28289
Warren Shire;14.10307;38.28289
Warrumbungle Shire;-31.462736;149.469736
Waverley Council;30.61411;-82.51096
Weddin Shire;14.10307;38.28289
Wentworth Shire;14.10307;38.28289
Willoughby, City of;-33.806698;151.199186
Wingecarribee Shire;14.10307;38.28289
Wollondilly Shire;14.10307;38.28289
Wollongong, City of;-34.428377;150.893892
Woollahra, Municipality of;50.009342;8.814865
Yass Valley Council;-34.989262;148.840875
