Local Government areas;Population
Albury, City of;56.093
Armidale Regional Council;29.124
Ballina Shire;46.296
Balranald Shire;2.208
Bathurst Region;43.567
Bayside Council;175.184
Bega Valley Shire;35.942
Bellingen Shire;13.253
Berrigan Shire;8.665
Blacktown City Council;396.776
Bland Shire;5.547
Blayney Shire;7.497
Blue Mountains, City of;78.121
Bogan Shire;2.467
Bourke Shire;2.34
Brewarrina Shire;1.356
Broken Hill, City of;17.588
Burwood Council;40.217
Byron Shire;36.116
Cabonne Shire;13.766
Camden Council;119.325
Campbelltown, City of;176.519
Canada Bay, City of;89.177
Canterbury-Bankstown, City of;371.006
Carrathool Shire;2.866
Central Coast Council;346.596
Central Darling Shire;1.725
Cessnock, City of;63.632
Clarence Valley Council;54.115
Cobar Shire;4.059
Coffs Harbour, City of;78.759
Coolamon Shire;4.385
Coonamble Shire;3.732
Cootamundra-Gundagai Regional Council;11.403
Cowra Shire;12.724
Cumberland City Council;235.439
Dubbo Regional Council;54.922
Dungog Shire;9.541
Edward River Council;8.456
Eurobodalla Shire;40.593
Fairfield, City of;208.475
Federation Council;12.899
Forbes Shire;9.319
Georges River Council;152.274
Gilgandra Shire;4.295
Glen Innes Severn Council;8.931
Goulburn Mulwaree Council;32.053
Greater Hume Shire;11.157
Griffith, City of;27.086
Gunnedah Shire;12.929
Gwydir Shire;4.91
Hawkesbury, City of;67.207
Hay Shire;2.882
Hills Shire, The;191.876
Hilltops Council;19.254
Hornsby Shire;151.811
Hunter's Hill, Municipality of;13.559
Inner West Council;182.818
Inverell Shire;17.853
Junee Shire;6.415
Kempsey Shire;30.688
Kiama, Municipality of;23.074
Ku-ring-gai Council;124.076
Kyogle Council;9.359
Lachlan Shire;6.094
Lake Macquarie, City of;213.845
Lane Cove, Municipality of;39.438
Leeton Shire;11.452
Lismore, City of;44.334
Lithgow, City of;20.842
Liverpool, City of;233.446
Liverpool Plains Shire;7.551
Lockhart Shire;3.319
Lord Howe Island;445
Maitland, City of;90.226
Mid-Coast Council;96.579
Mid-Western Regional;25.713
Moree Plains Shire;12.751
Mosman Council;28.329
Murray River Council;12.85
Murrumbidgee Council;3.353
Muswellbrook Shire;16.357
Nambucca Shire;20.407
Narrandera Shire;5.698
Narrabri Shire;12.703
Narromine Shire;6.36
Newcastle, City of;168.873
Northern Beaches Council;263.554
North Sydney Council;68.95
Oberon Shire;5.58
Orange, City of;43.512
Parkes Shire;14.361
Parramatta Council, City of;256.729
Penrith, City of;217.664
Port Macquarie-Hastings Council;86.762
Port Stephens Council;75.276
Queanbeyan-Palerang Regional Council;63.304
Randwick, City of;134.252
Richmond Valley Council;23.565
Ryde, City of;129.123
Singleton Council;24.577
Shellharbour, City of;76.271
Shoalhaven, City of;108.531
Snowy Monaro Regional Council;21.666
Snowy Valleys Council;14.891
Strathfield, Municipality of;45.593
Sutherland Shire;230.211
Sydney, City of;211.632
Tamworth Regional Council;63.07
Temora Shire;6.034
Tenterfield Shire;6.81
Tweed Shire;97.392
Unincorporated Far West;1.016
Upper Hunter Shire;14.229
Upper Lachlan Shire;8.514
Uralla Shire;5.971
Wagga Wagga, City of;67.609
Walcha Shire;3.016
Walgett Shire;5.253
Warren Shire;2.55
Warrumbungle Shire;9.225
Waverley Council;68.605
Weddin Shire;3.608
Wentworth Shire;7.453
Willoughby, City of;75.613
Wingecarribee Shire;52.709
Wollondilly Shire;53.961
Wollongong, City of;214.564
Woollahra, Municipality of;53.496
Yass Valley Council;17.281
