access_point;location_lga;capacity
Southern Cross Cable Network;Northern Beaches Council;13.4
AJC;Sydney, City of;10
APNG-2;Northern Beaches Council;0.0011
Gondwana-1;Northern Beaches Council;0.64
Telstra Endeavour;Waverley Council;0.08
PPC-1;Northern Beaches Council;1.92
Tasman Global Access;Sydney, City of;20
Hawaiki Cable;Waverley Council;30
Indigo Central;Waverley Council;40
Coral Sea Cable System;Waverley Council;40
JGA South;Northern Beaches Council;36
Southern Cross NEXT;Northern Beaches Council;72
