Place 1;Place 2;Distance (km)
Albury, City of;Armidale Regional Council;15432.82
Albury, City of;Ballina Shire;12587.11
Albury, City of;Balranald Shire;385.91
Albury, City of;Bathurst Region;392.36
Albury, City of;Bayside Council;16464.11
Albury, City of;Bega Valley Shire;260.25
Albury, City of;Bellingen Shire;12587.11
Albury, City of;Berrigan Shire;108.37
Albury, City of;Blacktown City Council;15432.82
Albury, City of;Bland Shire;12587.11
Albury, City of;Blayney Shire;12587.11
Albury, City of;Blue Mountains, City of;414.78
Albury, City of;Bogan Shire;12587.11
Albury, City of;Bourke Shire;12587.11
Albury, City of;Brewarrina Shire;690.86
Albury, City of;Broken Hill, City of;16334.98
Albury, City of;Burwood Council;452.68
Albury, City of;Byron Shire;12587.11
Albury, City of;Cabonne Shire;366.69
Albury, City of;Camden Council;15432.82
Albury, City of;Campbelltown, City of;758.88
Albury, City of;Canada Bay, City of;454.75
Albury, City of;Canterbury-Bankstown, City of;16334.98
Albury, City of;Carrathool Shire;12587.11
Albury, City of;Central Coast Council;15432.82
Albury, City of;Central Darling Shire;574.73
Albury, City of;Cessnock, City of;543.52
Albury, City of;Clarence Valley Council;892.7
Albury, City of;Cobar Shire;12587.11
Albury, City of;Coffs Harbour, City of;16334.98
Albury, City of;Coolamon Shire;156.36
Albury, City of;Coonamble Shire;12587.11
Albury, City of;Cootamundra-Gundagai Regional Council;188.94
Albury, City of;Cowra Shire;12587.11
Albury, City of;Cumberland City Council;15189.9
Albury, City of;Dubbo Regional Council;453.02
Albury, City of;Dungog Shire;12587.11
Albury, City of;Edward River Council;15432.82
Albury, City of;Eurobodalla Shire;270.66
Albury, City of;Fairfield, City of;16334.98
Albury, City of;Federation Council;15432.82
Albury, City of;Forbes Shire;12587.11
Albury, City of;Georges River Council;15432.82
Albury, City of;Gilgandra Shire;520.47
Albury, City of;Glen Innes Severn Council;846.53
Albury, City of;Goulburn Mulwaree Council;290.87
Albury, City of;Greater Hume Shire;43.93
Albury, City of;Griffith, City of;16334.98
Albury, City of;Gunnedah Shire;12587.11
Albury, City of;Gwydir Shire;12587.11
Albury, City of;Hawkesbury, City of;16334.98
Albury, City of;Hay Shire;12587.11
Albury, City of;Hills Shire, The;453.02
Albury, City of;Hilltops Council;15432.82
Albury, City of;Hornsby Shire;12587.11
Albury, City of;Hunter's Hill, Municipality of;15538.66
Albury, City of;Inner West Council;15432.82
Albury, City of;Inverell Shire;12587.11
Albury, City of;Junee Shire;12587.11
Albury, City of;Kempsey Shire;770.21
Albury, City of;Kiama, Municipality of;16334.98
Albury, City of;Ku-ring-gai Council;15432.82
Albury, City of;Kyogle Council;15432.82
Albury, City of;Lachlan Shire;12587.11
Albury, City of;Lake Macquarie, City of;16334.98
Albury, City of;Lane Cove, Municipality of;16334.98
Albury, City of;Leeton Shire;12587.11
Albury, City of;Lismore, City of;16334.98
Albury, City of;Lithgow, City of;16334.98
Albury, City of;Liverpool, City of;16334.98
Albury, City of;Liverpool Plains Shire;12587.11
Albury, City of;Lockhart Shire;12587.11
Albury, City of;Lord Howe Island;1230.15
Albury, City of;Maitland, City of;16334.98
Albury, City of;Mid-Coast Council;15432.82
Albury, City of;Mid-Western Regional;464.28
Albury, City of;Moree Plains Shire;806.81
Albury, City of;Mosman Council;466.66
Albury, City of;Murray River Council;15432.82
Albury, City of;Murrumbidgee Council;199.44
Albury, City of;Muswellbrook Shire;12587.11
Albury, City of;Nambucca Shire;809.4
Albury, City of;Narrandera Shire;12587.11
Albury, City of;Narrabri Shire;12587.11
Albury, City of;Narromine Shire;12587.11
Albury, City of;Newcastle, City of;566.83
Albury, City of;Northern Beaches Council;15432.82
Albury, City of;North Sydney Council;15432.82
Albury, City of;Oberon Shire;12587.11
Albury, City of;Orange, City of;16425.99
Albury, City of;Parkes Shire;12587.11
Albury, City of;Parramatta Council, City of;449.63
Albury, City of;Penrith, City of;16334.98
Albury, City of;Port Macquarie-Hastings Council;736.4
Albury, City of;Port Stephens Council;15432.82
Albury, City of;Queanbeyan-Palerang Regional Council;2260.92
Albury, City of;Randwick, City of;461.74
Albury, City of;Richmond Valley Council;15432.82
Albury, City of;Ryde, City of;457.86
Albury, City of;Singleton Council;15432.82
Albury, City of;Shellharbour, City of;395.1
Albury, City of;Shoalhaven, City of;16334.98
Albury, City of;Snowy Monaro Regional Council;181.56
Albury, City of;Snowy Valleys Council;15432.82
Albury, City of;Strathfield, Municipality of;451.34
Albury, City of;Sutherland Shire;432.81
Albury, City of;Sydney, City of;16334.98
Albury, City of;Tamworth Regional Council;15432.82
Albury, City of;Temora Shire;12587.11
Albury, City of;Tenterfield Shire;12587.11
Albury, City of;Tweed Shire;1047.91
Albury, City of;Unincorporated Far West;15767.17
Albury, City of;Upper Hunter Shire;603.77
Albury, City of;Upper Lachlan Shire;296.06
Albury, City of;Uralla Shire;12587.11
Albury, City of;Wagga Wagga, City of;114.73
Albury, City of;Walcha Shire;12587.11
Albury, City of;Walgett Shire;12587.11
Albury, City of;Warren Shire;12587.11
Albury, City of;Warrumbungle Shire;564.55
Albury, City of;Waverley Council;15432.82
Albury, City of;Weddin Shire;12587.11
Albury, City of;Wentworth Shire;12587.11
Albury, City of;Willoughby, City of;464.83
Albury, City of;Wingecarribee Shire;12587.11
Albury, City of;Wollondilly Shire;12587.11
Albury, City of;Wollongong, City of;405.03
Albury, City of;Woollahra, Municipality of;16334.98
Albury, City of;Yass Valley Council;212.02
Armidale Regional Council;Ballina Shire;11970.29
Armidale Regional Council;Balranald Shire;15690.55
Armidale Regional Council;Bathurst Region;15145.03
Armidale Regional Council;Bayside Council;1375.66
Armidale Regional Council;Bega Valley Shire;15192.09
Armidale Regional Council;Bellingen Shire;11970.29
Armidale Regional Council;Berrigan Shire;15529.9
Armidale Regional Council;Blacktown City Council;0.0
Armidale Regional Council;Bland Shire;11970.29
Armidale Regional Council;Blayney Shire;11970.29
Armidale Regional Council;Blue Mountains, City of;15075.85
Armidale Regional Council;Bogan Shire;11970.29
Armidale Regional Council;Bourke Shire;11970.29
Armidale Regional Council;Brewarrina Shire;15299.96
Armidale Regional Council;Broken Hill, City of;7542.28
Armidale Regional Council;Burwood Council;15017.09
Armidale Regional Council;Byron Shire;11970.29
Armidale Regional Council;Cabonne Shire;15214.08
Armidale Regional Council;Camden Council;0.0
Armidale Regional Council;Campbelltown, City of;16162.53
Armidale Regional Council;Canada Bay, City of;15015.56
