miejsce_1;miejsce_2;długość połączenia;przepustowość
Armidale Regional Council;Uralla Shire;21.61;17547.5
Ballina Shire;Byron Shire;30.03;41206.0
Ballina Shire;Lismore, City of;24.18;45315.0
Bayside Council;Burwood Council;8.86;107700.5
Bayside Council;Canada Bay, City of;9.76;132180.5
Bayside Council;Georges River Council;8.03;163729.0
Bayside Council;Hunter's Hill, Municipality of;12.23;94371.5
Bayside Council;Inner West Council;5.45;179001.0
Bayside Council;Randwick, City of;7.79;154718.0
Bayside Council;Strathfield, Municipality of;10.24;110388.5
Bayside Council;Sydney, City of;9.12;193408.0
Bayside Council;Waverley Council;9.51;121894.5
Bayside Council;Woollahra, Municipality of;9.39;114340.0
Bellingen Shire;Coffs Harbour, City of;26.74;46006.0
Bellingen Shire;Nambucca Shire;29.39;16830.0
Blacktown City Council;Canterbury-Bankstown, City of;26.15;383891.0
Blacktown City Council;Cumberland City Council;16.94;316107.5
Blacktown City Council;Fairfield, City of;17.29;302625.5
Blacktown City Council;Hills Shire, The;14.09;294326.0
Blacktown City Council;Hornsby Shire;22.22;274293.5
Blacktown City Council;Liverpool, City of;21.13;315111.0
Blacktown City Council;Parramatta Council, City of;16.13;326752.5
Blacktown City Council;Penrith, City of;14.57;307220.0
Blacktown City Council;Ryde, City of;25.02;262949.5
Blacktown City Council;Strathfield, Municipality of;26.31;221184.5
Blayney Shire;Orange, City of;32.55;25504.5
Blue Mountains, City of;Lithgow, City of;33.05;49481.5
Blue Mountains, City of;Penrith, City of;27.82;147892.5
Burwood Council;Canada Bay, City of;2.27;64697.0
Burwood Council;Canterbury-Bankstown, City of;8.14;205611.5
Burwood Council;Georges River Council;10.01;96245.5
Burwood Council;Hunter's Hill, Municipality of;6.68;26888.0
Burwood Council;Inner West Council;4.83;111517.5
Burwood Council;Lane Cove, Municipality of;9.56;39827.5
Burwood Council;Ryde, City of;7.93;84670.0
Burwood Council;Strathfield, Municipality of;1.76;42905.0
Burwood Council;Sydney, City of;9.99;125924.5
