Connection,Length (km),Bandwidth (Mbps),Equipment,Protection,Power Consumption (W)
Armidale Regional Council - Uralla Shire,21.61,17547.5,"Carrier-grade router, WDM",1:1 Path Protection,5275.06
Ballina Shire - Byron Shire,30.03,41206.0,"Carrier-grade router, WDM",1:1 Path Protection,12376.81
"Ballina Shire - Lismore, City of",24.18,45315.0,"Carrier-grade router, WDM",1:1 Path Protection,13606.59
Bayside Council - Burwood Council,8.86,107700.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,32314.58
"Bayside Council - Canada Bay, City of",9.76,132180.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,39659.03
Bayside Council - Georges River Council,8.03,163729.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,49122.71
"Bayside Council - Hunter's Hill, Municipality of",12.23,94371.5,"Carrier-grade router, WDM",1:1 Path Protection,28317.57
Bayside Council - Inner West Council,5.45,179001.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,53703.02
"Bayside Council - Randwick, City of",7.79,154718.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,46419.29
"Bayside Council - Strathfield, Municipality of",10.24,110388.5,"Carrier-grade router, WDM",1:1 Path Protection,33121.67
"Bayside Council - Sydney, City of",9.12,193408.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,58026.96
Bayside Council - Waverley Council,9.51,121894.5,"10 Gbps switch, multimode fiber",1+1 Path Protection,36573.10
"Bayside Council - Woollahra, Municipality of",9.39,114340.0,"10 Gbps switch, multimode fiber",1+1 Path Protection,34306.69
"Bellingen Shire - Coffs Harbour, City of",26.74,46006.0,"Carrier-grade router, WDM",1:1 Path Protection,13815.17
Bellingen Shire - Nambucca Shire,29.39,16830.0,"Carrier-grade router, WDM",1:1 Path Protection,5063.69
"Blacktown City Council - Canterbury-Bankstown, City of",26.15,383891.0,"Carrier-grade router, WDM",1:1 Path Protection,115180.38
Blacktown City Council - Cumberland City Council,16.94,316107.5,"Carrier-grade router, WDM",1:1 Path Protection,94840.72
"Blacktown City Council - Fairfield, City of",17.29,302625.5,"Carrier-grade router, WDM",1:1 Path Protection,90796.29
"Blacktown City Council - Hills Shire, The",14.09,294326.0,"Carrier-grade router, WDM",1:1 Path Protection,88304.85
Blacktown City Council - Hornsby Shire,22.22,274293.5,"Carrier-grade router, WDM",1:1 Path Protection,82299.16
"Blacktown City Council - Liverpool, City of",21.13,315111.0,"Carrier-grade router, WDM",1:1 Path Protection,94543.87
"Blacktown City Council - Parramatta Council, City of",16.13,326752.5,"Carrier-grade router, WDM",1:1 Path Protection,98033.82
"Blacktown City Council - Penrith, City of",14.57,307220.0,"Carrier-grade router, WDM",1:1 Path Protection,92173.29
"Blacktown City Council - Ryde, City of",25.02,262949.5,"Carrier-grade router, WDM",1:1 Path Protection,78897.36
"Blacktown City Council - Strathfield, Municipality of",26.31,221184.5,"Carrier-grade router, WDM",1:1 Path Protection,66368.50
